channel,ocurrences
periodistasporlaverdad,11
others,12
lasaludentusmanos,13
maskebellas,14
elinvestigador_org,15
PADRESPORLAVERDAD,17
PLANDEMIA_MUNDIAL_COVID,26
canal5informa,26
estamosdespiertos,27
elexpresodemedianoche,31
laquintacolumna,34
trikooba,36
Dr_Angel_Ruiz_Valdepe_as,37
despertadordelamatrix,38
tierrapura,40
rafapalreal,41
RosselloCM,42
elarconte,67
ejercitoremanente,67
ElDiestro,129
