channel,ocurrences
others,10
unionDisidente,11
periodistasporlaverdad,12
lasaludentusmanos,15
saludprohibidaandreaskalcker,16
elmurodelaverdad,16
maskebellas,23
PADRESPORLAVERDAD,23
PLANDEMIA_MUNDIAL_COVID,33
elinvestigador_org,36
trikooba,38
elexpresodemedianoche,41
tierrapura,48
canal5informa,48
estamosdespiertos,50
laquintacolumna,61
rafapalreal,64
ejercitoremanente,67
Dr_Angel_Ruiz_Valdepe_as,68
despertadordelamatrix,75
RosselloCM,92
elarconte,115
ElDiestro,138
