channel,id
tierrapura,1
periodistasporlaverdad,2
elmurodelaverdad,2
ejercitoremanente,3
maskebellas,5
canal5informa,6
ElContrafuerte,9
lasaludentusmanos,9
estamosdespiertos,10
ElDiestro,13
unionDisidente,17
despertadordelamatrix,25
elexpresodemedianoche,41
Medicosporlaverdad,43
RosselloCM,51
laquintacolumna,54
PLANDEMIA_MUNDIAL_COVID,64
elinvestigador_org,76
PADRESPORLAVERDAD,82
comusav,95
Dr_Angel_Ruiz_Valdepe_as,128
rafapalreal,393
