languague,ocurrences
tl,12
sv,13
cy,15
hi,15
0,16
sl,16
vi,16
others,18
hu,26
pl,28
hr,29
th,45
so,56
fr,62
id,68
no,75
it,114
pt,272
ca,364
de,1093
en,3677
es,10161
