channel,id
despertadordelamatrix,1
estamosdespiertos,1
trikooba,1
canal5informa,1
lasaludentusmanos,2
DrDeBenito,2
unionDisidente,2
RosselloCM,12
PADRESPORLAVERDAD,15
elexpresodemedianoche,17
elinvestigador_org,18
laquintacolumna,19
PLANDEMIA_MUNDIAL_COVID,22
Dr_Angel_Ruiz_Valdepe_as,26
Medicosporlaverdad,29
rafapalreal,58
comusav,100
