url,ocurrences
pubmed.ncbi.nlm.nih.gov,10
www.youtube.com,10
www.thegatewaypundit.com,15
newspunch.com,17
odysee.com,18
realrawnews.com,19
telegram.org,26
dai.ly,32
youtu.be,50
tierrapura.org,52
rumble.com,58
trotapoker.tv,86
www.twitch.tv,93
s.click.aliexpress.com,116
others,141
